,MyUnknownColumn,Project_name,Area_In_City,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet,Ratings
0,0,Pristine Allure,Kharadi,Pristine Properties,Possession in 2025, 81.7 Lac - 1.01 Cr                                                             , 90 Lac - 1.48 Cr                                                             ,810 - 1227 sqft,746 - 957 sqft,7.0
1,1,Sai Aura,"Pimple Saudagar, Pimpri Chinchwad",Legacy Lifespaces LLP,Possession in 2026, 1.02 Cr                                                             , 1.30 Cr                                                             ,905 - 1040 sqft,711 - 805 sqft,7.0
2,2,Godrej Serene,"Mamurdi, Dehu Road",Godrej Properties,Possession in 2026, 48.2 Lac                                                             , 68.2 Lac - 77.4 Lac                                                             ,1108 - 1405 sqft,823 - 1005 sqft,1.0
3,3,The Canary,Balewadi,Kunal Group,Possession in 2025, 86.8 Lac - 98.5 Lac                                                             , 1 Cr - 1.28 Cr                                                             ,869 - 890 sqft,1662 - 2500 sqft,10.0
4,4,Rohan Ekam,Balewadi,Rohan Builders &amp; Developers Pvt. Ltd.,Possession in 2027, 1.45 Cr - 2.30 Cr                                                             , 2.10 Cr - 4.30 Cr                                                             ,1844 - 2158 sqft,1046 - 1386 sqft,8.0
5,5,Geras Island of Joy,Wagholi,Gera Developments Pvt. Ltd.,Possession in 2026, 2.90 Cr                                                             , 1.10 Cr - 1.30 Cr                                                             ,928 - 1299 sqft,676 - 895 sqft,5.0
6,6,Godrej Emerald Waters,Pimpri,Godrej Properties,Possession in 2027, 1.34 Cr - 2.02 Cr                                                             , 2.36 Cr - 3.15 Cr                                                             ,790 - 800 sqft,1513 - 1673 sqft,6.0
7,7,Adi Amma Insperia,Rahatani,J N Realty and Homes,Possession in 2026, 75.4 Lac - 1.01 Cr                                                             , 1.05 Cr - 1.52 Cr                                                             ,1790 - 1800 sqft,990 - 1335 sqft,2.0
8,8,Elite Amara,Aundh,Elite Builders,Possession in 2024, 1.71 Cr - 1.95 Cr                                                             , 1.15 Cr - 1.20 Cr                                                             ,1088 - 1093 sqft,744 - 866 sqft,8.0
9,9,Amanora Arbano Towers,Hadapsar,Amanora Park Town,Possession in 2028, 1.45 Cr - 2 Cr                                                             , 2.60 Cr - 2.70 Cr                                                             ,742 - 866 sqft,1079 - 1092 sqft,9.0
10,10,Kohinoor Famville,Maan,Kohinoor Group,Possession in 2028, 97.2 Lac - 1.51 Cr                                                             , 1.41 Cr - 1.42 Cr                                                             ,702 - 792 sqft,1085 - 1447 sqft,7.0
11,11,Nirman Cosmopolis,Tathawade Pimpri Chinchwad,Nirman Greens,Possession in 2027, 2.08 Cr - 2.10 Cr                                                             , 65 Lac                                                             ,817 - 825 sqft,927 - 1071 sqft,10.0
12,12,Shriram Nysa,Dhanori,Shriram Developers,Possession in 2025, 96.5 Lac - 1.12 Cr                                                             , 1.48 Cr - 1.96 Cr                                                             ,1460 - 1475 sqft,1064 - 1207 sqft,2.0
13,13,Nyati Emerald,Baner,Nyati Group,Possession in 2027, 2.31 Cr                                                             , 65 Lac - 80.5 Lac                                                             ,1213 - 1218 sqft,838 - 850 sqft,10.0
14,14,24K Altura,Baner,Kolte Patil Developers Ltd.,Possession in 2028, 85 Lac - 1.30 Cr                                                             , 89 Lac - 92 Lac                                                             ,1702 - 2200 sqft,1141 - 1702 sqft,0.0
15,15,Mangalam Life Park,Moshi,Mangalam Landmark,Possession in 2025, 1.15 Cr - 1.31 Cr                                                             , 1.52 Cr - 1.56 Cr                                                             ,800 - 910 sqft,562 - 695 sqft,9.0
16,16,Hues Of Sky,Ghorpadi,Bramhacorp Ltd.,Possession in 2026, 82 Lac                                                             , 1 Cr - 1.09 Cr                                                             ,1246 - 1616 sqft,712 - 1110 sqft,9.0
17,17,Palladio Balewadi Central Phase 1,Balewadi,Vilas Javdekar Developers,Possession in 2027, 1.45 Cr - 1.60 Cr                                                             , 1.55 Cr - 2.55 Cr                                                             ,1400 - 1650 sqft,1100 - 1190 sqft,9.0
18,18,Platinum Towers,"Manjri, Manjri Budruk",Samarth Landmarks,Possession in 2027, 2.20 Cr - 3 Cr                                                             , 38.9 Lac - 47.1 Lac                                                             ,760 - 769 sqft,504 - 511 sqft,6.0
19,19,Mangalam Melizma,"Kiwale, Dehu Road",Mangalam Landmarks,Possession in 2026, 56.1 Lac - 63.3 Lac                                                             , 1.47 Cr - 2.24 Cr                                                             ,838 - 980 sqft,703 - 902 sqft,8.0
20,0,Boston,Charholi BK,Pride World City,Possession in 2026, 39.8 Lac - 43 Lac                                                             , 49 Lac - 52 Lac                                                             ,631  sqft,531  sqft,5.0
21,1,Kanak Residency Phase 2,"Kiwale, Dehu Road",Sai Siddha Associates,Possession in 2026, 49 Lac - 61 Lac                                                             , 80 Lac                                                             ,940  sqft,635 - 801 sqft,0.0
22,2,Vivanta Next,Tathawade Pimpri Chinchwad,Shree Sonigara Punamiya Developers,Possession in 2026, 60 Lac                                                             , 75 Lac - 78 Lac                                                             ,897  sqft,741 - 743 sqft,2.0
23,3,Infinity Vatika,Shikrapur,Vivek Bidgar Associates,Possession in 2027, 84 Lac - 91.1 Lac                                                             , 92 Lac - 1.10 Cr                                                             ,820 - 1007 sqft,750 - 839 sqft,3.0
24,4,Godrej Urban Retreat,Manjari Khurd,Godrej Properties,Possession in 2023, 51.7 Lac - 54 Lac                                                             , 62.9 Lac - 66.2 Lac                                                             ,891 - 895 sqft,721 - 727 sqft,5.0
25,5,Majestique Rhythm County,Handewadi,Majestique Landmarks,Possession in 2026, 2.09 Cr - 2.11 Cr                                                             , 2.75 Cr - 3.20 Cr                                                             ,1900 - 2200 sqft,1438  sqft,5.0
26,6,Livience Aleenta,Pashan,Livience Lifespace Private Limited,Possession in 2027, 85.5 Lac - 91.2 Lac                                                             , 79 Lac - 80.5 Lac                                                             ,840  sqft,822 - 881 sqft,9.0
27,7,Elina Liva,NIBM Annexe Area,CHAPHALKAR KARANDIKAR DEVELOPERS,Possession in 2023, 97 Lac - 1.20 Cr                                                             , 72 Lac - 84 Lac                                                             ,722 - 790 sqft,1027 - 1115 sqft,7.0
28,8,L Axis,Moshi,Pharande Spaces,Possession in 2026, 98 Lac - 1.17 Cr                                                             , 44 Lac - 46 Lac                                                             ,753  sqft,998 - 999 sqft,3.0
29,9,57 Elevate,Wakad,Aishwaryam Group and Sanskruti Developers and Avneesh Reality,Possession in 2027, 72 Lac - 94 Lac                                                             , 1.29 Cr - 1.38 Cr                                                             ,1241 - 1267 sqft,850 - 863 sqft,9.0
30,10,Mayuri Adhinathpuram,Undri,Mayuri Landmarks LLP,Possession in 2026, 58 Lac - 64 Lac                                                             , 84 Lac - 97.9 Lac                                                             ,800  sqft,767  sqft,7.0
31,11,Tamara Phase 2,Rahatani,Goldfinger Kataria Urban Developments,Possession in 2025, 1.10 Cr - 1.24 Cr                                                             , 2.87 Cr                                                             ,1363  sqft,1062  sqft,4.0
32,12,Sai Bliss ,"Punawale, Pimpri Chinchwad",Rainbow Housing,Possession in 2026, 1.10 Cr - 1.24 Cr                                                             , 2.87 Cr                                                             ,1363  sqft,1062  sqft,4.0
33,13,Sunrise Tower,"Nigdi, Pimpri Chinchwad",V Top Spaces Pvt Ltd,Possession in 2024, 1.10 Cr - 1.24 Cr                                                             , 2.87 Cr                                                             ,1363  sqft,1062  sqft,8.0
34,14,Mitrakunj ,"Parvati Gaon, Parvati Darshan",Rising Associates,Possession in 2025, 1.10 Cr - 1.24 Cr                                                             , 2.87 Cr                                                             ,1363  sqft,1062  sqft,2.0
35,15,V Top Valonia,"Punawale, Pimpri Chinchwad",Soham Shivam Developers,Possession in 2026, 1.10 Cr - 1.24 Cr                                                             , 2.87 Cr                                                             ,1363  sqft,1062  sqft,7.0
36,0,Balaji Park,Ambale Gaon,Gurukrupa Developers,Possession in 2023, 77.5 Lac - 94.4 Lac                                                             , 93 Lac - 1.35 Cr                                                             ,939 - 1244 sqft,796 - 888 sqft,6.0
37,1,Sai Empire G,Wadmukhwadi,Sai Angan Projects LLP,Possession in 2023, 88 Lac - 93 Lac                                                             , 1.14 Cr - 1.30 Cr                                                             ,1140 - 1155 sqft,881 - 950 sqft,2.0
38,2,Asmita Swapnapurti ,Jalochi,Asmita Enterprises  ,Possession in 2026, 86 Lac - 1.32 Cr                                                             , 1.28 Cr - 1.78 Cr                                                             ,1066 - 1471 sqft,762 - 1067 sqft,10.0
39,3,P G Ira Enclave,Hadapsar,Reehe Valley Enterprises,Possession in 2024, 2.12 Cr - 2.20 Cr                                                             , 80 Lac - 83 Lac                                                             ,838 - 860 sqft,1793  sqft,9.0
40,4,Vismaya,Khamboli,SIDDHI DEVELOPERS,Possession in 2024, 1.24 Cr - 1.26 Cr                                                             , 71 Lac - 76.5 Lac                                                             ,675  sqft,1213 - 1225 sqft,0.0
41,5,Siddhi Nakshatra,Chakan,Kohinoor Group,Possession in 2028, 55.5 Lac - 70.1 Lac                                                             , 75 Lac - 85 Lac                                                             ,850 - 1050 sqft,750 - 786 sqft,4.0
42,6,Kohinoor Westview Reserve,"Punawale, Pimpri Chinchwad",Bivega Realty,Possession in 2025, 80 Lac - 86 Lac                                                             , 87 Lac                                                             ,1074  sqft,743 - 824 sqft,10.0
43,7,The Silver Altair,"Ravet, Pimpri Chinchwad",VTP Realty,Possession in 2027, 80 Lac - 86 Lac                                                             , 87 Lac                                                             ,1074  sqft,743 - 824 sqft,6.0
44,8,Flamante By VTP Luxe Phase 1,Kharadi,Nyati Group,Possession in 2026, 80 Lac - 86 Lac                                                             , 87 Lac                                                             ,1074  sqft,743 - 824 sqft,8.0
45,9,NYATI EQUINOX,Bavdhan,Ravima Ventures,Possession in 2024, 80 Lac - 86 Lac                                                             , 87 Lac                                                             ,1074  sqft,743 - 824 sqft,5.0
46,10,Newton Homes Hadapsar Phase III,Hadapsar,Bramha Realty &amp; Infrastructure,Possession in 2026, 80 Lac - 86 Lac                                                             , 87 Lac                                                             ,1074  sqft,743 - 824 sqft,1.0
47,11,Bramha SkyCity,Dhanori,R R Lunkad Landmarks LLP &amp; Nemichand Bhandari Associates,Possession in 2024, 80 Lac - 86 Lac                                                             , 87 Lac                                                             ,1074  sqft,743 - 824 sqft,5.0
48,12,RR Lunkad 66 Avenue,"Pimple Nilakh, Pimpri Chinchwad",Kolte Patil Developers Ltd.,Possession in 2025, 80 Lac - 86 Lac                                                             , 87 Lac                                                             ,1074  sqft,743 - 824 sqft,4.0
49,0,Alpine Astonia,"Kiwale, Dehu Road",Alpine Landmarks LLP,Possession in 2025, 54 Lac                                                             , 66.3 Lac                                                             ,971  sqft,715  sqft,7.0
50,1,Vertillas,Kharadi,Spectrum Properties,Possession in 2024, 1.15 Cr - 1.47 Cr                                                             , 1.70 Cr - 2.20 Cr                                                             ,1555 - 1560 sqft,1112 - 1171 sqft,2.0
51,2,Conclave,Shivajinagar,Veda Ventures,Possession in 2024, 1.07 Cr - 1.69 Cr                                                             , 63 Lac                                                             ,770  sqft,476 - 750 sqft,4.0
52,3,The Cove,"Bhugaon, Bavdhan",Paranjape Schemes Construction Ltd.,Possession in 2028, 63 Lac - 75.9 Lac                                                             , 86.9 Lac - 1.09 Cr                                                             ,930 - 1172 sqft,709 - 809 sqft,4.0
53,4,ALOHA,Wakad,Rohit Infra,Possession in 2023, 45.2 Lac - 60.9 Lac                                                             , 89 Lac - 99 Lac                                                             ,661 - 712 sqft,542 - 772 sqft,8.0
54,5,Puneville,"Punawale, Pimpri Chinchwad",Pharande Spaces,Possession in 2029, 1.30 Cr - 1.45 Cr                                                             , 72 Lac - 75 Lac                                                             ,805 - 833 sqft,996 - 1140 sqft,7.0
55,6,Ganesh Siddhi Phase 3,Chikhali Pimpri Chinchwad,SB Patil Group,Possession in 2026, 98 Lac - 1.15 Cr                                                             , 1.55 Cr                                                             ,1659  sqft,1056 - 1196 sqft,0.0
56,7,Legacy Kairos,Rahatani,Legacy Lifespaces LLP,Possession in 2027, 2.25 Cr                                                             , 69.2 Lac - 82.7 Lac                                                             ,818 - 992 sqft,2300  sqft,1.0
57,8,LODHA Pune NIBM Project,NIBM Road,Lodha Group,Possession in 2023, 81.7 Lac - 98.8 Lac                                                             , 1.87 Cr - 1.90 Cr                                                             ,1112 - 1199 sqft,980 - 1200 sqft,1.0
58,9,Parvatara Phase 2,"Kiwale, Dehu Road",Saakshi Constructions Pvt. Ltd.,Possession in 2027, 1.45 Cr - 1.56 Cr                                                             , 69 Lac - 72 Lac                                                             ,836 - 850 sqft,1400  sqft,1.0
59,10,Avaneesh,"Nigdi, Pimpri Chinchwad",KLS Constructions,Possession in 2026, 89 Lac - 98 Lac                                                             , 49.9 Lac - 54 Lac                                                             ,690 - 802 sqft,1060 - 1176 sqft,1.0
60,11,The PWC Towers,"Bhugaon, Bavdhan",SKYi Developers,Possession in 2026, 53 Lac - 69.5 Lac                                                             , 84.9 Lac                                                             ,952  sqft,623 - 809 sqft,2.0
61,12,Life Republic Aros,Hinjawadi,Kolte Patil Developers Ltd.,Possession in 2026, 57.4 Lac                                                             , 65 Lac - 75 Lac                                                             ,500 - 650 sqft,681  sqft,1.0
62,13,Laxmi Emerald,Lohegaon,Laxmi Group,Possession in 2026, 57.4 Lac                                                             , 65 Lac - 75 Lac                                                             ,500 - 650 sqft,681  sqft,1.0
63,14,Vaanya,Moshi,Pharande Spaces,Possession in 2026, 57.4 Lac                                                             , 65 Lac - 75 Lac                                                             ,500 - 650 sqft,681  sqft,0.0
64,15,Ganesh Siddhi Phase 2,Chikhali Pimpri Chinchwad,SB Patil Group,Possession in 2026, 57.4 Lac                                                             , 65 Lac - 75 Lac                                                             ,500 - 650 sqft,681  sqft,9.0
65,16,Bramhacorp August Towers,Wadgaon Sheri,Bramhacorp Ltd.,Possession in 2028, 57.4 Lac                                                             , 65 Lac - 75 Lac                                                             ,500 - 650 sqft,681  sqft,4.0
66,17,Intercontinental Swapna Nagari,Chakan,Intercontinental Infrastructure Ltd,Possession in 2026, 57.4 Lac                                                             , 65 Lac - 75 Lac                                                             ,500 - 650 sqft,681  sqft,3.0
67,18,HS Privitude,"Punawale, Pimpri Chinchwad",HS Group,Possession in 2025, 57.4 Lac                                                             , 65 Lac - 75 Lac                                                             ,500 - 650 sqft,681  sqft,5.0
68,19,Kumar Parth Tower,Baner,Kumar Properties,Possession in 2025, 57.4 Lac                                                             , 65 Lac - 75 Lac                                                             ,500 - 650 sqft,681  sqft,6.0
69,0,Prestige Elm Park,Channasandra,Prestige Estates Projects Ltd.,Possession in 2026, 1.70 Cr - 2.25 Cr                                                             , 2.20 Cr - 2.94 Cr                                                             ,1561 - 2004 sqft,1120 - 1600 sqft,5.0
70,1,Soulspring Phase 1,Hsr Layout,Svamitva Group,Possession in 2027, 1.90 Cr - 2.80 Cr                                                             , 2.58 Cr - 3.60 Cr                                                             ,1617 - 2200 sqft,1155 - 1700 sqft,1.0
71,2,Earthen Ambience,Sarjapura Attibele Road,Evantha Developers,Possession in 2025, 1.70 Cr - 1.71 Cr                                                             , 2.06 Cr - 2.90 Cr                                                             ,2200 - 2690 sqft,2100 - 2357 sqft,7.0
72,3,Sobha Galera,Huskur,SOBHA Ltd.,Possession in 2026, 60.6 Lac - 1.25 Cr                                                             , 17.1 Lac - 57 Lac                                                             ,1181 - 2400 sqft,3009  sqft,7.0
73,4,Definer Upper Deck,Budigere Cross,Definer Group,Possession in 2025, 34.2 Lac - 91.2 Lac                                                             , 12 Lac - 15 Lac                                                             ,900 - 2400 sqft,600 - 2000 sqft,8.0
74,5,Canterbury Orchards 2,Nandi Hills,Vishuddh Properties,Possession in 2025, 2.69 Cr - 3 Cr                                                             , 3.45 Cr - 3.90 Cr                                                             ,1654 - 3254 sqft,1200 - 1500 sqft,4.0
75,6,MJR Opus,Sarjapur Road,MJR Builders Pvt. Ltd.,Possession in 2024, 72 Lac - 86.1 Lac                                                             , 81 Lac - 1.06 Cr                                                             ,750 - 940 sqft,1806 - 4220 sqft,1.0
76,7,Vaishnavi Jasmine,Kanakapura Road,Vaishnavi Developers,Possession in 2024, 64.5 Lac - 89.4 Lac                                                             , 93.9 Lac - 1.20 Cr                                                             ,872 - 990 sqft,1047 - 1340 sqft,1.0
77,8,Sky Line Boulevard,Devanahalli,Maharshi Developers,Possession in 2024, 1.70 Cr                                                             , 1.59 Cr                                                             ,1724  sqft,1226 - 1688 sqft,1.0
78,9,MR Hill View Garden,Hoskote Chintamani Road,Annapurna Max Properties OPC Pvt. Ltd.,Possession in 2024, 3 Cr - 3.50 Cr                                                             , 3.70 Cr - 5.09 Cr                                                             ,3421 - 3441 sqft,2300  sqft,7.0
79,10,Soulace By Modern Spaaces,Sarjapur Road,Modern Spaaces,Possession in 2025, 2.18 Cr - 2.50 Cr                                                             , 13.2 Lac - 52 Lac                                                             ,2108 - 2200 sqft,2413 - 2500 sqft,8.0
80,11,Abhee Kings Court,Sarjapur Road,Abhee Ventures Pvt. Ltd.,Possession in 2024, 2.18 Cr - 2.50 Cr                                                             , 13.2 Lac - 52 Lac                                                             ,2108 - 2200 sqft,2413 - 2500 sqft,8.0
81,12,Casagrand Keatsway,"Geddalahalli, HBR layout",Casagrand Builder Pvt. Ltd.,Possession in 2026, 2.18 Cr - 2.50 Cr                                                             , 13.2 Lac - 52 Lac                                                             ,2108 - 2200 sqft,2413 - 2500 sqft,4.0
82,13,Golden Pearl Phase 2,Sarjapura,Global Developers,Possession in 2024, 2.18 Cr - 2.50 Cr                                                             , 13.2 Lac - 52 Lac                                                             ,2108 - 2200 sqft,2413 - 2500 sqft,0.0
83,14,Sobha Oakshire,Devanahalli,SOBHA Ltd.,Possession in 2025, 2.18 Cr - 2.50 Cr                                                             , 13.2 Lac - 52 Lac                                                             ,2108 - 2200 sqft,2413 - 2500 sqft,5.0
84,15,Gravity Aranya,Stage 6th Banashankari,Gravity Homes,Possession in 2025, 2.18 Cr - 2.50 Cr                                                             , 13.2 Lac - 52 Lac                                                             ,2108 - 2200 sqft,2413 - 2500 sqft,5.0
85,16,Gnana Kuteera Phase II,Devanahalli,Karnataka State Teachers Employees Welfare Housing Co Operative Society,Possession in 2024, 2.18 Cr - 2.50 Cr                                                             , 13.2 Lac - 52 Lac                                                             ,2108 - 2200 sqft,2413 - 2500 sqft,3.0
86,0,Mana Verdant,Jakkur Road,Mana Projects Pvt. Ltd.,Possession in 2027, 85.8 Lac - 1 Cr                                                             , 1 Cr - 1.50 Cr                                                             ,1008 - 1600 sqft,739 - 1240 sqft,3.0
87,1,Hara North One,Devanahalli,Ameliorate Realtors Private Limited,Possession in 2024, 41.9 Lac - 54.5 Lac                                                             , 57.2 Lac - 68.9 Lac                                                             ,1395 - 1680 sqft,1023 - 1329 sqft,0.0
88,2,Inspira Petals,Wilson Garden,Inspira Builders,Possession in 2024, 2.14 Cr - 2.15 Cr                                                             , 2.45 Cr - 3.39 Cr                                                             ,1895 - 2615 sqft,1720 - 1730 sqft,8.0
89,3,SS Brindavanam,Sarjapur Road,SS Builders and Developers,Possession in 2024, 1.22 Cr - 1.30 Cr                                                             , 1.50 Cr - 2.18 Cr                                                             ,1416 - 1981 sqft,1200 - 1294 sqft,7.0
90,4,Folium By Sumadhura Phase 2,Whitefield,Sumadhura Infracon Pvt. Ltd.,Possession in 2025, 2.30 Cr                                                             , 64.9 Lac - 71.2 Lac                                                             ,1249 - 1370 sqft,2717  sqft,4.0
91,5,Prestige Lavender Fields,Varthur,Prestige Estates Projects Ltd.,Possession in 2026, 69.6 Lac - 78.2 Lac                                                             , 1.61 Cr - 1.88 Cr                                                             ,2136 - 2483 sqft,1339 - 1504 sqft,9.0
