"MyUnknownColumn_[0]";"Project_name";"Area_In_City";"Developer";"Possesion_Details";"3BHK_Carpet";"2BHK_Carpet";"Ratings";"2BHK_Prices";"3BHK_Prices"
0;"Pristine Allure";"Kharadi";"Pristine Properties";" 2025";"810 - 1227 sqft";"746 - 957 sqft";7.0;8170000.0;9000000.0
1;"Sai Aura";"Pimple Saudagar, Pimpri Chinchwad";"Legacy Lifespaces LLP";" 2026";"905 - 1040 sqft";"711 - 805 sqft";7.0;10200000.0;13000000.0
2;"Godrej Serene";"Mamurdi, Dehu Road";"Godrej Properties";" 2026";"1108 - 1405 sqft";"823 - 1005 sqft";1.0;4820000.0;6820000.0
3;"The Canary";"Balewadi";"Kunal Group";" 2025";"869 - 890 sqft";"1662 - 2500 sqft";10.0;8680000.0;10000000.0
4;"Rohan Ekam";"Balewadi";"Rohan Builders &amp; Developers Pvt. Ltd.";" 2027";"1844 - 2158 sqft";"1046 - 1386 sqft";8.0;14500000.0;21000000.0
5;"Geras Island of Joy";"Wagholi";"Gera Developments Pvt. Ltd.";" 2026";"928 - 1299 sqft";"676 - 895 sqft";5.0;29000000.0;11000000.0
6;"Godrej Emerald Waters";"Pimpri";"Godrej Properties";" 2027";"790 - 800 sqft";"1513 - 1673 sqft";6.0;13400000.0;23600000.0
7;"Adi Amma Insperia";"Rahatani";"J N Realty and Homes";" 2026";"1790 - 1800 sqft";"990 - 1335 sqft";2.0;7540000.0;10500000.0
8;"Elite Amara";"Aundh";"Elite Builders";" 2024";"1088 - 1093 sqft";"744 - 866 sqft";8.0;17100000.0;11500000.0
9;"Amanora Arbano Towers";"Hadapsar";"Amanora Park Town";" 2028";"742 - 866 sqft";"1079 - 1092 sqft";9.0;14500000.0;26000000.0
10;"Kohinoor Famville";"Maan";"Kohinoor Group";" 2028";"702 - 792 sqft";"1085 - 1447 sqft";7.0;9720000.0;14100000.0
11;"Nirman Cosmopolis";"Tathawade Pimpri Chinchwad";"Nirman Greens";" 2027";"817 - 825 sqft";"927 - 1071 sqft";10.0;20800000.0;6500000.0
12;"Shriram Nysa";"Dhanori";"Shriram Developers";" 2025";"1460 - 1475 sqft";"1064 - 1207 sqft";2.0;9650000.0;14800000.0
13;"Nyati Emerald";"Baner";"Nyati Group";" 2027";"1213 - 1218 sqft";"838 - 850 sqft";10.0;23100000.0;6500000.0
14;"24K Altura";"Baner";"Kolte Patil Developers Ltd.";" 2028";"1702 - 2200 sqft";"1141 - 1702 sqft";0.0;8500000.0;8900000.0
15;"Mangalam Life Park";"Moshi";"Mangalam Landmark";" 2025";"800 - 910 sqft";"562 - 695 sqft";9.0;11500000.0;15200000.0
16;"Hues Of Sky";"Ghorpadi";"Bramhacorp Ltd.";" 2026";"1246 - 1616 sqft";"712 - 1110 sqft";9.0;8200000.0;10000000.0
17;"Palladio Balewadi Central Phase 1";"Balewadi";"Vilas Javdekar Developers";" 2027";"1400 - 1650 sqft";"1100 - 1190 sqft";9.0;14500000.0;15500000.0
18;"Platinum Towers";"Manjri, Manjri Budruk";"Samarth Landmarks";" 2027";"760 - 769 sqft";"504 - 511 sqft";6.0;22000000.0;3890000.0
19;"Mangalam Melizma";"Kiwale, Dehu Road";"Mangalam Landmarks";" 2026";"838 - 980 sqft";"703 - 902 sqft";8.0;5610000.0;14700000.0
0;"Boston";"Charholi BK";"Pride World City";" 2026";"631  sqft";"531  sqft";5.0;3980000.0;4900000.0
1;"Kanak Residency Phase 2";"Kiwale, Dehu Road";"Sai Siddha Associates";" 2026";"940  sqft";"635 - 801 sqft";0.0;4900000.0;8000000.0
2;"Vivanta Next";"Tathawade Pimpri Chinchwad";"Shree Sonigara Punamiya Developers";" 2026";"897  sqft";"741 - 743 sqft";2.0;6000000.0;7500000.0
3;"Infinity Vatika";"Shikrapur";"Vivek Bidgar Associates";" 2027";"820 - 1007 sqft";"750 - 839 sqft";3.0;8400000.0;9200000.0
4;"Godrej Urban Retreat";"Manjari Khurd";"Godrej Properties";" 2023";"891 - 895 sqft";"721 - 727 sqft";5.0;5170000.0;6290000.0
5;"Majestique Rhythm County";"Handewadi";"Majestique Landmarks";" 2026";"1900 - 2200 sqft";"1438  sqft";5.0;20900000.0;27500000.0
6;"Livience Aleenta";"Pashan";"Livience Lifespace Private Limited";" 2027";"840  sqft";"822 - 881 sqft";9.0;8550000.0;7900000.0
7;"Elina Liva";"NIBM Annexe Area";"CHAPHALKAR KARANDIKAR DEVELOPERS";" 2023";"722 - 790 sqft";"1027 - 1115 sqft";7.0;9700000.0;7200000.0
8;"L Axis";"Moshi";"Pharande Spaces";" 2026";"753  sqft";"998 - 999 sqft";3.0;9800000.0;4400000.0
9;"57 Elevate";"Wakad";"Aishwaryam Group and Sanskruti Developers and Avneesh Reality";" 2027";"1241 - 1267 sqft";"850 - 863 sqft";9.0;7200000.0;12900000.0
10;"Mayuri Adhinathpuram";"Undri";"Mayuri Landmarks LLP";" 2026";"800  sqft";"767  sqft";7.0;5800000.0;8400000.0
11;"Tamara Phase 2";"Rahatani";"Goldfinger Kataria Urban Developments";" 2025";"1363  sqft";"1062  sqft";4.0;11000000.0;28700000.0
12;"Sai Bliss ";"Punawale, Pimpri Chinchwad";"Rainbow Housing";" 2026";"1363  sqft";"1062  sqft";4.0;11000000.0;28700000.0
13;"Sunrise Tower";"Nigdi, Pimpri Chinchwad";"V Top Spaces Pvt Ltd";" 2024";"1363  sqft";"1062  sqft";8.0;11000000.0;28700000.0
14;"Mitrakunj ";"Parvati Gaon, Parvati Darshan";"Rising Associates";" 2025";"1363  sqft";"1062  sqft";2.0;11000000.0;28700000.0
15;"V Top Valonia";"Punawale, Pimpri Chinchwad";"Soham Shivam Developers";" 2026";"1363  sqft";"1062  sqft";7.0;11000000.0;28700000.0
0;"Balaji Park";"Ambale Gaon";"Gurukrupa Developers";" 2023";"939 - 1244 sqft";"796 - 888 sqft";6.0;7750000.0;9300000.0
1;"Sai Empire G";"Wadmukhwadi";"Sai Angan Projects LLP";" 2023";"1140 - 1155 sqft";"881 - 950 sqft";2.0;8800000.0;11400000.0
2;"Asmita Swapnapurti ";"Jalochi";"Asmita Enterprises  ";" 2026";"1066 - 1471 sqft";"762 - 1067 sqft";10.0;8600000.0;12800000.0
3;"P G Ira Enclave";"Hadapsar";"Reehe Valley Enterprises";" 2024";"838 - 860 sqft";"1793  sqft";9.0;21200000.0;8000000.0
4;"Vismaya";"Khamboli";"SIDDHI DEVELOPERS";" 2024";"675  sqft";"1213 - 1225 sqft";0.0;12400000.0;7100000.0
5;"Siddhi Nakshatra";"Chakan";"Kohinoor Group";" 2028";"850 - 1050 sqft";"750 - 786 sqft";4.0;5550000.0;7500000.0
6;"Kohinoor Westview Reserve";"Punawale, Pimpri Chinchwad";"Bivega Realty";" 2025";"1074  sqft";"743 - 824 sqft";10.0;8000000.0;8700000.0
7;"The Silver Altair";"Ravet, Pimpri Chinchwad";"VTP Realty";" 2027";"1074  sqft";"743 - 824 sqft";6.0;8000000.0;8700000.0
8;"Flamante By VTP Luxe Phase 1";"Kharadi";"Nyati Group";" 2026";"1074  sqft";"743 - 824 sqft";8.0;8000000.0;8700000.0
9;"NYATI EQUINOX";"Bavdhan";"Ravima Ventures";" 2024";"1074  sqft";"743 - 824 sqft";5.0;8000000.0;8700000.0
10;"Newton Homes Hadapsar Phase III";"Hadapsar";"Bramha Realty &amp; Infrastructure";" 2026";"1074  sqft";"743 - 824 sqft";1.0;8000000.0;8700000.0
11;"Bramha SkyCity";"Dhanori";"R R Lunkad Landmarks LLP &amp; Nemichand Bhandari Associates";" 2024";"1074  sqft";"743 - 824 sqft";5.0;8000000.0;8700000.0
12;"RR Lunkad 66 Avenue";"Pimple Nilakh, Pimpri Chinchwad";"Kolte Patil Developers Ltd.";" 2025";"1074  sqft";"743 - 824 sqft";4.0;8000000.0;8700000.0
0;"Alpine Astonia";"Kiwale, Dehu Road";"Alpine Landmarks LLP";" 2025";"971  sqft";"715  sqft";7.0;5400000.0;6630000.0
1;"Vertillas";"Kharadi";"Spectrum Properties";" 2024";"1555 - 1560 sqft";"1112 - 1171 sqft";2.0;11500000.0;17000000.0
2;"Conclave";"Shivajinagar";"Veda Ventures";" 2024";"770  sqft";"476 - 750 sqft";4.0;10700000.0;6300000.0
3;"The Cove";"Bhugaon, Bavdhan";"Paranjape Schemes Construction Ltd.";" 2028";"930 - 1172 sqft";"709 - 809 sqft";4.0;6300000.0;8690000.0
4;"ALOHA";"Wakad";"Rohit Infra";" 2023";"661 - 712 sqft";"542 - 772 sqft";8.0;4520000.0;8900000.0
5;"Puneville";"Punawale, Pimpri Chinchwad";"Pharande Spaces";" 2029";"805 - 833 sqft";"996 - 1140 sqft";7.0;13000000.0;7200000.0
6;"Ganesh Siddhi Phase 3";"Chikhali Pimpri Chinchwad";"SB Patil Group";" 2026";"1659  sqft";"1056 - 1196 sqft";0.0;9800000.0;15500000.0
7;"Legacy Kairos";"Rahatani";"Legacy Lifespaces LLP";" 2027";"818 - 992 sqft";"2300  sqft";1.0;22500000.0;6920000.0
8;"LODHA Pune NIBM Project";"NIBM Road";"Lodha Group";" 2023";"1112 - 1199 sqft";"980 - 1200 sqft";1.0;8170000.0;18700000.0
9;"Parvatara Phase 2";"Kiwale, Dehu Road";"Saakshi Constructions Pvt. Ltd.";" 2027";"836 - 850 sqft";"1400  sqft";1.0;14500000.0;6900000.0
10;"Avaneesh";"Nigdi, Pimpri Chinchwad";"KLS Constructions";" 2026";"690 - 802 sqft";"1060 - 1176 sqft";1.0;8900000.0;4990000.0
11;"The PWC Towers";"Bhugaon, Bavdhan";"SKYi Developers";" 2026";"952  sqft";"623 - 809 sqft";2.0;5300000.0;8490000.0
12;"Life Republic Aros";"Hinjawadi";"Kolte Patil Developers Ltd.";" 2026";"500 - 650 sqft";"681  sqft";1.0;5740000.0;6500000.0
13;"Laxmi Emerald";"Lohegaon";"Laxmi Group";" 2026";"500 - 650 sqft";"681  sqft";1.0;5740000.0;6500000.0
14;"Vaanya";"Moshi";"Pharande Spaces";" 2026";"500 - 650 sqft";"681  sqft";0.0;5740000.0;6500000.0
15;"Ganesh Siddhi Phase 2";"Chikhali Pimpri Chinchwad";"SB Patil Group";" 2026";"500 - 650 sqft";"681  sqft";9.0;5740000.0;6500000.0
16;"Bramhacorp August Towers";"Wadgaon Sheri";"Bramhacorp Ltd.";" 2028";"500 - 650 sqft";"681  sqft";4.0;5740000.0;6500000.0
17;"Intercontinental Swapna Nagari";"Chakan";"Intercontinental Infrastructure Ltd";" 2026";"500 - 650 sqft";"681  sqft";3.0;5740000.0;6500000.0
18;"HS Privitude";"Punawale, Pimpri Chinchwad";"HS Group";" 2025";"500 - 650 sqft";"681  sqft";5.0;5740000.0;6500000.0
19;"Kumar Parth Tower";"Baner";"Kumar Properties";" 2025";"500 - 650 sqft";"681  sqft";6.0;5740000.0;6500000.0
0;"Prestige Elm Park";"Channasandra";"Prestige Estates Projects Ltd.";" 2026";"1561 - 2004 sqft";"1120 - 1600 sqft";5.0;17000000.0;22000000.0
1;"Soulspring Phase 1";"Hsr Layout";"Svamitva Group";" 2027";"1617 - 2200 sqft";"1155 - 1700 sqft";1.0;19000000.0;25800000.0
2;"Earthen Ambience";"Sarjapura Attibele Road";"Evantha Developers";" 2025";"2200 - 2690 sqft";"2100 - 2357 sqft";7.0;17000000.0;20600000.0
3;"Sobha Galera";"Huskur";"SOBHA Ltd.";" 2026";"1181 - 2400 sqft";"3009  sqft";7.0;6060000.0;1710000.0
4;"Definer Upper Deck";"Budigere Cross";"Definer Group";" 2025";"900 - 2400 sqft";"600 - 2000 sqft";8.0;3420000.0;1200000.0
5;"Canterbury Orchards 2";"Nandi Hills";"Vishuddh Properties";" 2025";"1654 - 3254 sqft";"1200 - 1500 sqft";4.0;26900000.0;34500000.0
6;"MJR Opus";"Sarjapur Road";"MJR Builders Pvt. Ltd.";" 2024";"750 - 940 sqft";"1806 - 4220 sqft";1.0;7200000.0;8100000.0
7;"Vaishnavi Jasmine";"Kanakapura Road";"Vaishnavi Developers";" 2024";"872 - 990 sqft";"1047 - 1340 sqft";1.0;6450000.0;9390000.0
8;"Sky Line Boulevard";"Devanahalli";"Maharshi Developers";" 2024";"1724  sqft";"1226 - 1688 sqft";1.0;17000000.0;15900000.0
9;"MR Hill View Garden";"Hoskote Chintamani Road";"Annapurna Max Properties OPC Pvt. Ltd.";" 2024";"3421 - 3441 sqft";"2300  sqft";7.0;30000000.0;37000000.0
10;"Soulace By Modern Spaaces";"Sarjapur Road";"Modern Spaaces";" 2025";"2108 - 2200 sqft";"2413 - 2500 sqft";8.0;21800000.0;1320000.0
11;"Abhee Kings Court";"Sarjapur Road";"Abhee Ventures Pvt. Ltd.";" 2024";"2108 - 2200 sqft";"2413 - 2500 sqft";8.0;21800000.0;1320000.0
12;"Casagrand Keatsway";"Geddalahalli, HBR layout";"Casagrand Builder Pvt. Ltd.";" 2026";"2108 - 2200 sqft";"2413 - 2500 sqft";4.0;21800000.0;1320000.0
13;"Golden Pearl Phase 2";"Sarjapura";"Global Developers";" 2024";"2108 - 2200 sqft";"2413 - 2500 sqft";0.0;21800000.0;1320000.0
14;"Sobha Oakshire";"Devanahalli";"SOBHA Ltd.";" 2025";"2108 - 2200 sqft";"2413 - 2500 sqft";5.0;21800000.0;1320000.0
15;"Gravity Aranya";"Stage 6th Banashankari";"Gravity Homes";" 2025";"2108 - 2200 sqft";"2413 - 2500 sqft";5.0;21800000.0;1320000.0
16;"Gnana Kuteera Phase II";"Devanahalli";"Karnataka State Teachers Employees Welfare Housing Co Operative Society";" 2024";"2108 - 2200 sqft";"2413 - 2500 sqft";3.0;21800000.0;1320000.0
0;"Mana Verdant";"Jakkur Road";"Mana Projects Pvt. Ltd.";" 2027";"1008 - 1600 sqft";"739 - 1240 sqft";3.0;8580000.0;10000000.0
1;"Hara North One";"Devanahalli";"Ameliorate Realtors Private Limited";" 2024";"1395 - 1680 sqft";"1023 - 1329 sqft";0.0;4190000.0;5720000.0
2;"Inspira Petals";"Wilson Garden";"Inspira Builders";" 2024";"1895 - 2615 sqft";"1720 - 1730 sqft";8.0;21400000.0;24500000.0
3;"SS Brindavanam";"Sarjapur Road";"SS Builders and Developers";" 2024";"1416 - 1981 sqft";"1200 - 1294 sqft";7.0;12200000.0;15000000.0
4;"Folium By Sumadhura Phase 2";"Whitefield";"Sumadhura Infracon Pvt. Ltd.";" 2025";"1249 - 1370 sqft";"2717  sqft";4.0;23000000.0;6490000.0
5;"Prestige Lavender Fields";"Varthur";"Prestige Estates Projects Ltd.";" 2026";"2136 - 2483 sqft";"1339 - 1504 sqft";9.0;6960000.0;16100000.0
6;"AURA";"Sarjapur Road";"SKR Builders and Developers";" 2024";"3647 - 3680 sqft";"1500 - 2300 sqft";4.0;9000000.0;34400000.0
7;"Sowparnika Life On The Green";"Attibele";"Sowparnika Projects &amp; Infrastructure Pvt. Ltd.";" 2025";"1105 - 1150 sqft";"4846 - 4851 sqft";7.0;46900000.0;5970000.0
8;"Vishuddh Prakruthi";"Kanakapura Road";"Vishuddh Properties";" 2024";"950 - 957 sqft";"1285 - 1410 sqft";3.0;6940000.0;6500000.0
9;"SKAV Grande";"Whitefield";"SKAV Developers Pvt. Ltd.";" 2027";"1298  sqft";"1434 - 1633 sqft";9.0;18500000.0;19900000.0
10;"Abhee Pride";"Chandapura";"Abhee Ventures Pvt. Ltd.";" 2024";"1940  sqft";"1387 - 2050 sqft";9.0;21300000.0;27500000.0
11;"Canterbury Orchards 1";"Nandi Hills";"Vishuddh Properties";" 2024";"2010 - 2110 sqft";"2370  sqft";6.0;33600000.0;12100000.0
12;"Purva Bluebelle";"Magadi Main Road";"Puravankara Ltd.";" 2027";"1377  sqft";"2310 - 2370 sqft";10.0;13800000.0;10100000.0
13;"Godrej Athena";"Indiranagar";"Godrej Properties";" 2027";"990  sqft";"1846  sqft";1.0;13600000.0;6600000.0
14;"Shriram Esquire";"Koramangala";"Shriram Properties";" 2027";"990  sqft";"1846  sqft";8.0;13600000.0;6600000.0
15;"Nivara Viento";"Doddaballapur Main Road";"Nivara Group";" 2024";"990  sqft";"1846  sqft";3.0;13600000.0;6600000.0
16;"Icon Iconest 7";"Bommasandra";"ICON Infra Shelters Pvt. Ltd.";" 2025";"990  sqft";"1846  sqft";8.0;13600000.0;6600000.0
17;"Casagrand Zaiden";"Uttarahalli Manavarthekaval";"Casagrand Builder Pvt. Ltd.";" 2025";"990  sqft";"1846  sqft";4.0;13600000.0;6600000.0
18;"Sapthagiri Sandalwoods";"Kadugodi";"Sapthagiri Shelters";" 2024";"990  sqft";"1846  sqft";10.0;13600000.0;6600000.0
19;"Godrej Elevate";"Whitefield";"Godrej Properties";" 2027";"990  sqft";"1846  sqft";0.0;13600000.0;6600000.0
0;"Happy Homes Megan";"Phase 1 Electronics City";"Trishul Builders and Promoters";" 2024";"1160 - 1295 sqft";"1440 - 1446 sqft";1.0;6000000.0;6960000.0
1;"Srivari Forest Breeze";"Uttarahalli Hobli";"Srivari Infrastructures";" 2024";"1189 - 1335 sqft";"1450 - 1595 sqft";9.0;8700000.0;7130000.0
2;"Garuda Grand";"Hoodi, Hoodi";"Balaji Builders";" 2024";"3054 - 3901 sqft";"1571 - 1849 sqft";8.0;9420000.0;26400000.0
3;"Divine Meadows";"Sarjapura";"Max Global Developers";" 2026";"750 - 1220 sqft";"445  sqft";10.0;5400000.0;8500000.0
4;"Brigade Calista Phase 1";"Budigere Cross";"Brigade Group";" 2027";"1249 - 145152 sqft";"927 - 1760 sqft";2.0;10500000.0;19500000.0
5;"Visista By Vista Spaces Okas";"Yelahanka";"Vista Spaces";" 2026";"723 - 900 sqft";"1603 - 160300 sqft";9.0;24500000.0;6800000.0
6;"Shriram Solitaire";"Yelahanka New Town";"Shriram Properties Ltd.";" 2025";"2000 - 2172 sqft";"1240 - 1680 sqft";10.0;7300000.0;12000000.0
7;"Future Aspera";"Chandapura";"Future Infrastructures Pvt. Ltd.";" 2024";"675 - 1255 sqft";"603 - 810 sqft";2.0;6900000.0;7800000.0
8;"The Poem by Shriram Properties";"Jalahalli, Jalahalli, Outer Ring Road";"Shriram Properties Ltd.";" 2027";"1070 - 1111 sqft";"870 - 995 sqft";2.0;7010000.0;8500000.0
9;"TG Heritage";"Kanakapura Road";"TG Developers";" 2026";"1122 - 1525 sqft";"1305 - 1495 sqft";3.0;10200000.0;10000000.0
10;"Mahaveer Grandis";"Phase 7 JP Nagar";"Mahaveer Group";" 2026";"1367 - 1562 sqft";"1070 - 1213 sqft";8.0;4280000.0;6010000.0
11;"DS MAX Samyak";"Kengeri Hobli Challegatta";"DS MAX Properties Pvt. Ltd.";" 2026";"1237 - 1425 sqft";"1000 - 1298 sqft";3.0;4500000.0;5570000.0
12;"DS MAX Shresta";"Bellahalli";"DS MAX Properties Pvt. Ltd.";" 2026";"964 - 1216 sqft";"647 - 684 sqft";8.0;3560000.0;5300000.0
13;"Mahaveer Highlands";"Kengeri";"Mahaveer Group";" 2026";"586  sqft";"1422 - 1447 sqft";5.0;7820000.0;4300000.0
14;"Brigade Valencia";"Hosur Road";"Brigade Group";" 2027";"1498 - 1678 sqft";"966 - 1201 sqft";2.0;7000000.0;10800000.0
15;"Govianu Nakshatra";"Vijayanagar";"Govianu Wealth Management Pvt Ltd";" 2024";"1200 - 1650 sqft";"1800 - 1815 sqft";7.0;12500000.0;6480000.0
16;"Akshara Green City Township Phase 1";"Budigere Cross";"Sheshadri Developers";" 2024";"1200 - 1500 sqft";"1490 - 2420 sqft";10.0;5290000.0;7800000.0
17;"Century Seasons";"Devanahalli";"Century Real Estate";" 2023";"1200 - 1500 sqft";"1490 - 2420 sqft";5.0;5290000.0;7800000.0
0;"Century Wintersun";"Yelahanka";"Century Real Estate";" 2025";"1200 - 1927 sqft";"2800 - 3300 sqft";7.0;28000000.0;1680000.0
1;"BSNL Sirigandha Elite";"Devanahalli";"BSNL Employees And Citizen House Building Co Operative Society Ltd";" 2026";"600 - 1800 sqft";"892 - 3126 sqft";3.0;2680000.0;2200000.0
2;"Manyata Midlands";"Anekal";"Manyata Developers Pvt Ltd";" 2027";"2166  sqft";"1238  sqft";7.0;11500000.0;14000000.0
3;"Lavender Meadows";"Sarjapura";"Terrafem Group LLP";" 2026";"2604 - 3022 sqft";"1785 - 2034 sqft";2.0;16200000.0;23700000.0
4;"Ruchira Park East";"Kannamangala";"Ruchira Projects Pvt. Ltd.";" 2025";"1373 - 1569 sqft";"1039 - 1258 sqft";0.0;5190000.0;6920000.0
5;"Mahidhara Harmony";"Sarjapur Road";"Mahidhara Projects Private Limited";" 2024";"995 - 1600 sqft";"689  sqft";9.0;5960000.0;12500000.0
6;"SLV Elanza";"Thanisandra";"SLV Infrastructures";" 2027";"1585 - 1800 sqft";"1017 - 1839 sqft";9.0;12000000.0;20000000.0
7;"Sobha Sentosa";"Panathur";"SOBHA Ltd.";" 2026";"1972  sqft";"524 - 850 sqft";2.0;7600000.0;23500000.0
8;"Assetz Bloom &amp; Dell";"Whitefield";"Assetz Property Group";" 2027";"1450  sqft";"1900 - 2940 sqft";8.0;25000000.0;17000000.0
9;"Prestige Primrose Hills Phase 2";"Kanakapura Road";"Prestige Estates Projects Ltd.";" 2027";"1450  sqft";"1900 - 2940 sqft";6.0;25000000.0;17000000.0
10;"Radiance Gardenia";"Hennur Main Road";"Radiance Realty Developers India Ltd.";" 2025";"1450  sqft";"1900 - 2940 sqft";9.0;25000000.0;17000000.0
11;"Geown Oasis Phase 3";"Sarjapura";"Geown Properties Pvt. Ltd.";" 2024";"1450  sqft";"1900 - 2940 sqft";9.0;25000000.0;17000000.0
12;"Sanjeevini Srushti Srigandha";"Whitefield";"Sanjeevini Group";" 2026";"1450  sqft";"1900 - 2940 sqft";0.0;25000000.0;17000000.0
